arm,task,lang,n_cmds,n_failed_cmds,fail_rate,n_build_cmds,n_build_failures,build_fail_rate,first_green_build_pos,n_static_err_cmds,n_runtime_err_cmds,static_share,max_same_err_loop,n_loop_cmds,early_fail_frac,late_fail_frac,late_static_errs,n_file_changes,n_unique_files,n_re_edits,n_late_re_edits,churn,n_agent_msgs,output_tokens,sub_src_files,sub_loc,sub_all_files
codex-free,abishekvashok__cmatrix.5c082c6,c,21,1,0.0476,3,0,0.0,0.4762,0,0,,1,0,0.0,0.0,0,4,3,1,1,0.3333,8,8280,1,321,3
codex-free,agourlay__zip-password-finder.704700d,python,22,1,0.0455,0,0,,,0,0,,0,0,0.0,0.0,0,1,2,0,0,0.0,8,7602,1,318,2
codex-free,ajeetdsouza__zoxide.67ca1bc,python,25,3,0.12,0,0,,,0,0,,1,0,0.3333,0.3333,0,2,1,1,0,1.0,8,11661,1,323,2
codex-free,alecthomas__chroma.8d04def,,35,3,0.0857,0,0,,,0,0,,0,0,0.0,0.0,0,9,2,7,3,3.5,14,17484,1,526,2
codex-free,alexpovel__srgn.89f943b,python,30,1,0.0333,3,1,0.3333,0.6667,0,0,,0,0,0.0,0.0,0,0,0,0,0,,6,12204,1,346,2
codex-free,altdesktop__i3-style.f93821b,python,31,4,0.129,0,0,,,0,0,,0,0,0.0,0.25,0,0,0,0,0,,7,12850,1,247,2
codex-free,ammarabouzor__tui-journal.2b4540d,python,30,1,0.0333,0,0,,,0,0,,0,0,0.0,1.0,0,3,2,2,1,1.0,12,9859,1,472,2
codex-free,anordal__shellharden.6a6ffd4,python,20,1,0.05,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,8,10509,1,603,2
codex-free,antonmedv__fx.86d0d34,python,31,1,0.0323,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,2,1,1.0,10,9587,1,378,2
codex-free,antonmedv__walk.bf802ef,c,24,1,0.0417,0,0,,,0,0,,1,0,0.0,0.0,0,2,2,1,1,0.5,9,8757,1,279,2
codex-free,ariga__atlas.6d81150,python,23,0,0.0,0,0,,,0,0,,0,0,,,0,2,2,1,1,0.5,6,9411,1,445,2
codex-free,arq5x__bedtools2.dd57059,python,22,1,0.0455,3,0,0.0,0.7727,0,1,0.0,0,0,0.0,0.0,0,6,2,5,2,2.5,9,13476,1,526,2
codex-free,arthursonzogni__json-tui.17a22b6,python,22,3,0.1364,1,0,0.0,0.7727,0,0,,0,0,0.3333,0.0,0,0,0,0,0,,8,6793,1,239,2
codex-free,ast-grep__ast-grep.dde0fe0,python,24,1,0.0417,0,0,,,0,0,,0,0,0.0,1.0,0,7,3,4,2,1.3333,9,12017,1,571,2
codex-free,astaxie__bat.17d1080,python,18,4,0.2222,0,0,,,0,1,0.0,0,0,0.25,0.5,0,5,2,4,2,2.0,10,10474,1,355,2
codex-free,astro__deadnix.d590041,python,25,1,0.04,1,0,0.0,0.88,0,0,,0,0,0.0,0.0,0,4,2,3,1,1.5,8,10550,1,445,2
codex-free,axodotdev__oranda.27d60c7,python,47,0,0.0,1,0,0.0,0.7872,0,0,,0,0,,,0,2,2,0,0,0.0,7,13219,1,690,2
codex-free,bellard__quickjs.d7ae12a,js,29,1,0.0345,0,0,,,3,0,1.0,2,1,0.0,0.0,2,2,1,1,0,1.0,8,10647,1,259,2
codex-free,bensadeh__tailspin.6278437,python,21,0,0.0,0,0,,,0,0,,0,0,,,0,0,0,0,0,,9,7647,1,363,2
codex-free,blacknon__hwatch.edfcb62,python,43,1,0.0233,0,0,,,0,0,,0,0,0.0,1.0,0,4,2,3,1,1.5,9,9347,1,276,2
codex-free,blake3-team__blake3.15e83a5,rust,28,2,0.0714,3,1,0.3333,0.1429,4,0,1.0,1,0,0.0,0.5,2,3,1,2,1,2.0,16,20297,1,88,2
