arm,task,pct,pct_ran,compile_ok,n_total_tests,n_ran_tests,n_passed_tests,language,wraps_tool,cost_usd,turns,duration_min,n_skills_invoked,skills_invoked
codex-free,abishekvashok__cmatrix.5c082c6,100.0000,100.0000,1,507,507,507,c,0,0.984598,33,4.0392,0,
codex-free,agourlay__zip-password-finder.704700d,76.0294,76.0294,1,680,680,517,python,0,0.709685,31,3.6021,0,
codex-free,ajeetdsouza__zoxide.67ca1bc,61.2053,61.2053,1,531,531,325,python,0,0.898766,35,5.0642,0,
codex-free,alexpovel__srgn.89f943b,65.7127,65.7127,1,1852,1852,1217,python,0,1.124760,36,5.2996,0,
codex-free,altdesktop__i3-style.f93821b,70.1299,70.1299,1,539,539,378,python,0,0.993732,38,6.0100,0,
codex-free,ammarabouzor__tui-journal.2b4540d,64.4080,64.4080,1,1402,1402,903,python,0,0.796282,45,4.3239,0,
codex-free,anordal__shellharden.6a6ffd4,72.6941,72.6941,1,1095,1095,796,python,0,0.869928,33,4.6790,0,
codex-free,antonmedv__fx.86d0d34,53.1998,53.1998,1,2047,2047,1089,python,0,0.989577,45,4.6379,0,
codex-free,antonmedv__walk.bf802ef,69.1489,69.1489,1,470,470,325,c,0,0.859668,35,4.5993,0,
codex-free,ariga__atlas.6d81150,40.2124,40.2124,1,1318,1318,530,python,1,0.774501,31,4.0831,0,
codex-free,arq5x__bedtools2.dd57059,32.1937,32.1937,1,1053,1053,339,python,0,1.552718,37,6.1144,0,
codex-free,arthursonzogni__json-tui.17a22b6,81.7219,81.7219,1,755,755,617,python,0,0.550738,30,3.3397,0,
codex-free,ast-grep__ast-grep.dde0fe0,14.9660,14.9660,1,882,882,132,python,0,1.171771,40,5.3757,0,
codex-free,astaxie__bat.17d1080,55.6370,55.6370,1,1091,1091,607,python,0,0.973891,33,4.7918,0,
codex-free,astro__deadnix.d590041,68.2724,68.2724,1,602,602,411,python,0,0.867021,37,5.8777,0,
codex-free,axodotdev__oranda.27d60c7,57.6271,59.4886,1,767,743,442,python,1,1.106851,56,5.8141,0,
codex-free,bellard__quickjs.d7ae12a,62.8214,62.8214,1,3034,3034,1906,js,0,0.903968,39,5.2068,0,
codex-free,bensadeh__tailspin.6278437,72.5203,72.5203,1,615,615,446,python,0,0.000000,0,0.0000,0,
codex-free,blacknon__hwatch.edfcb62,70.1772,70.1772,1,1016,1016,713,python,0,0.936448,56,4.6367,0,
codex-free,blake3-team__blake3.15e83a5,85.4714,85.4714,1,647,647,553,rust,0,1.867751,47,15702.3607,0,
codex-free,bootandy__dust.62bf1e1,63.8699,63.8699,1,584,584,373,python,0,1.216139,38,4.7330,0,
codex-free,boyter__scc.515f91c,14.8707,14.8707,1,464,464,69,python,0,1.256283,37,4.9574,0,
codex-free,brocode__fblog.3b54330,62.7812,62.7812,1,978,978,614,python,0,1.170933,50,4.3981,0,
codex-free,burntsushi__ripgrep.3b7fd44,64.0923,64.0923,1,1994,1994,1278,python,0,1.268861,42,5.3381,0,
codex-free,burntsushi__xsv.f430466,76.0575,76.0575,1,1182,1182,899,python,0,1.253118,39,5.1195,0,
codex-free,byron__dua-cli.8570c15,74.1890,74.1890,1,709,709,526,python,0,0.650271,30,3.4633,0,
codex-free,canop__broot.d6c798e,58.8126,58.8126,1,539,539,317,python,0,0.892270,38,4.3657,0,
codex-free,canop__rhit.ae90bcb,53.3660,53.3660,1,817,817,436,python,0,1.395053,38,4.1409,0,
codex-free,cheat__cheat.b8098dc,44.4444,44.4444,1,297,297,132,python,0,1.027014,35,4.1200,0,
codex-free,chirlu__sox.42b3557,21.9634,21.9634,1,1202,1202,264,python,0,1.468098,44,5.5689,0,
codex-free,chmln__handlr.90e78ba,67.3130,67.3130,1,722,722,486,python,0,0.990317,35,4.1801,0,
codex-free,chmln__sd.87d1ba5,88.2716,88.2716,1,810,810,715,rust,0,0.951010,40,4.0789,0,
codex-free,clog-tool__clog-cli.7066cba,69.0435,69.0435,1,575,575,397,python,0,1.168414,46,4.0370,0,
codex-free,cmatsuoka__figlet.202a0a8,53.3257,53.3257,1,872,872,465,python,0,1.783285,50,6.4522,0,
codex-free,codesnap-rs__codesnap.f81e4f3,70.0525,70.0525,1,571,571,400,python,0,0.000000,0,0.0000,0,
codex-free,cordx56__rustowl.655bc5c,64.0068,64.0068,1,589,589,377,python,0,1.113855,39,4.0411,0,
codex-free,crowdagger__crowbook.ea214d7,40.7683,40.7683,1,807,807,329,python,0,0.986500,57,4.2850,0,
codex-free,cslarsen__jp2a.61d205f,40.2536,43.1973,1,631,588,254,c,1,2.201638,65,8.1114,0,
codex-free,cweill__gotests.2a672c5,29.5191,80.5430,1,603,221,178,go,0,1.240651,24,4.6067,0,
codex-free,dalance__amber.69a0f52,69.3805,69.3805,1,565,565,392,python,0,1.066319,41,4.0137,0,
codex-free,dandavison__delta.acd758f,25.0526,25.0526,1,950,950,238,python,1,0.000000,0,0.0000,0,
codex-free,danmar__cppcheck.0a5b103,3.0103,3.0103,1,2126,2126,64,python,0,0.605439,38,2.2340,0,
codex-free,direnv__direnv.02040c7,42.5206,42.5206,1,849,849,361,python,1,1.192029,40,5.1365,0,
codex-free,doxygen__doxygen.966d98e,29.6943,29.6943,1,229,229,68,python,0,0.960278,44,3.9634,0,
codex-free,drew-alleman__datasurgeon.d257cee,63.7450,63.7450,1,502,502,320,python,0,1.020699,36,4.3580,0,
codex-free,ducaale__xh.4a6e44f,43.4671,43.4671,1,1171,1171,509,python,0,1.309454,44,4.9671,0,
codex-free,duckdb__duckdb.bdb65ec,13.0619,13.0619,1,5650,5650,738,python,0,1.023286,40,4.5557,0,
codex-free,dundee__gdu.ede21d2,64.0827,64.0827,1,1161,1161,744,python,0,1.116368,49,4.2277,0,
codex-free,ecumene__rust-sloth.051c559,25.2632,25.2632,1,380,380,96,c,0,1.338133,43,3.9935,0,
codex-free,ekzhang__bore.8e059cd,65.7360,69.6237,1,394,372,259,python,0,0.772918,36,3.6543,0,
codex-free,elkowar__pipr.fae0b17,53.7143,53.7143,1,525,525,282,c,0,1.096340,56,4.5641,0,
codex-free,epistates__treemd.825c6dd,43.0210,43.0210,1,1569,1569,675,python,0,1.014861,40,4.7615,0,
codex-free,eradman__entr.8e2e8b4,72.3549,72.3549,1,586,586,424,c,0,0.965946,46,4.5915,0,
codex-free,esubaalew__run.0fb9dec,76.0726,76.0726,1,1212,1212,922,python,0,0.971984,39,3.9271,0,
codex-free,eudoxia0__hashcards.48aa136,74.0922,74.0922,1,1019,1019,755,python,0,1.580343,50,5.4868,0,
codex-free,facebook__zstd.1168da0,47.3013,59.0325,1,2038,1633,964,go,0,1.285945,49,15305.3651,0,
codex-free,facebookresearch__fasttext.1142dc4,48.7179,48.7179,1,312,312,152,python,0,0.628581,22,3.3021,0,
codex-free,ffmpeg__ffmpeg.360a402,6.8852,6.8852,1,3050,3050,210,python,0,1.152148,39,15297.2672,0,
codex-free,filosottile__age.706dfc1,0.0000,0.0000,1,676,0,0,go,0,2.936812,62,8.4878,0,
