arm,task,pct,compile_ok,n_total_tests,n_passed_tests,cost_usd,turns,duration_min,n_skills_invoked,skills_invoked
codex-vanilla-clean,abishekvashok__cmatrix.5c082c6,99.0157,1,508,503,0.785174,39,2.9282,0,
codex-vanilla-clean,agourlay__zip-password-finder.704700d,83.3824,1,680,567,1.280261,54,6.0831,0,
codex-vanilla-clean,ajeetdsouza__zoxide.67ca1bc,56.3089,1,531,299,1.365138,41,5.1677,0,
codex-vanilla-clean,alecthomas__chroma.8d04def,0.0000,1,515,0,1.072330,58,4.3266,0,
codex-vanilla-clean,alexpovel__srgn.89f943b,67.4406,1,1852,1249,1.233786,49,5.6588,0,
codex-vanilla-clean,altdesktop__i3-style.f93821b,72.3562,1,539,390,1.566219,60,6.3471,0,
codex-vanilla-clean,ammarabouzor__tui-journal.2b4540d,68.4023,1,1402,959,1.018455,44,4.1042,0,
codex-vanilla-clean,anordal__shellharden.6a6ffd4,76.3470,1,1095,836,1.188247,41,4.6556,0,
codex-vanilla-clean,antonmedv__fx.86d0d34,59.7948,1,2047,1224,0.576884,36,2.8778,0,
codex-vanilla-clean,antonmedv__walk.bf802ef,35.9574,1,470,169,1.221129,42,5.5495,0,
codex-vanilla-clean,ariga__atlas.6d81150,47.8756,1,1318,631,1.403444,44,4.6147,0,
codex-vanilla-clean,arq5x__bedtools2.dd57059,21.9373,1,1053,231,1.222213,35,4.8857,0,
codex-vanilla-clean,arthursonzogni__json-tui.17a22b6,40.3974,1,755,305,1.194828,35,4.1466,0,
codex-vanilla-clean,ast-grep__ast-grep.dde0fe0,8.7302,1,882,77,1.037511,34,3.7339,0,
codex-vanilla-clean,astaxie__bat.17d1080,64.4363,1,1091,703,0.937463,31,6.7809,0,
codex-vanilla-clean,astro__deadnix.d590041,73.4219,1,602,442,0.972725,38,4.3541,0,
codex-vanilla-clean,axodotdev__oranda.27d60c7,52.0209,1,767,399,0.742960,39,3.7500,0,
codex-vanilla-clean,bellard__quickjs.d7ae12a,56.8556,1,3034,1725,0.819972,41,3.9113,0,
codex-vanilla-clean,bensadeh__tailspin.6278437,68.9431,1,615,424,0.672629,43,3.3758,0,
codex-vanilla-clean,blacknon__hwatch.edfcb62,56.4961,1,1016,574,0.878011,49,3.8750,0,
codex-vanilla-clean,blake3-team__blake3.15e83a5,88.5626,1,647,573,1.067188,39,5.5134,0,
codex-vanilla-clean,bootandy__dust.62bf1e1,56.8493,1,584,332,1.140907,25,3.5243,0,
codex-vanilla-clean,boyter__scc.515f91c,26.0776,1,464,121,0.892530,30,4.5261,0,
codex-vanilla-clean,brocode__fblog.3b54330,69.7342,1,978,682,0.896547,54,3.7483,0,
codex-vanilla-clean,burntsushi__ripgrep.3b7fd44,61.0832,1,1994,1218,1.241071,40,5.7641,0,
codex-vanilla-clean,burntsushi__xsv.f430466,76.2267,1,1182,901,1.245290,29,5.0493,0,
codex-vanilla-clean,byron__dua-cli.8570c15,77.1509,1,709,547,0.847646,39,3.6136,0,
codex-vanilla-clean,canop__broot.d6c798e,53.4323,1,539,288,1.210153,43,3.8835,0,
codex-vanilla-clean,canop__rhit.ae90bcb,45.0428,1,817,368,1.461868,52,4.9875,0,
codex-vanilla-clean,cheat__cheat.b8098dc,46.8013,1,297,139,1.052705,31,4.5729,0,
codex-vanilla-clean,chirlu__sox.42b3557,14.6423,1,1202,176,2.473956,65,8.0816,0,
codex-vanilla-clean,chmln__handlr.90e78ba,76.5928,1,722,553,0.970331,40,4.1659,0,
codex-vanilla-clean,chmln__sd.87d1ba5,85.8025,1,810,695,1.097907,49,4.1205,0,
codex-vanilla-clean,clog-tool__clog-cli.7066cba,69.9130,1,575,402,0.773277,40,3.6883,0,
codex-vanilla-clean,cmatsuoka__figlet.202a0a8,41.7431,1,872,364,1.236537,45,4.3251,0,
codex-vanilla-clean,codesnap-rs__codesnap.f81e4f3,48.6301,1,730,355,0.857924,37,3.9504,0,
codex-vanilla-clean,cordx56__rustowl.655bc5c,18.3362,1,589,108,0.979293,33,3.7388,0,
codex-vanilla-clean,crowdagger__crowbook.ea214d7,33.0855,1,807,267,0.662450,30,3.3665,0,
codex-vanilla-clean,cslarsen__jp2a.61d205f,35.8162,1,631,226,0.692795,35,2.8109,0,
codex-vanilla-clean,cweill__gotests.2a672c5,53.3997,1,603,322,1.679688,44,6.4643,0,
codex-vanilla-clean,dalance__amber.69a0f52,66.1376,1,567,375,1.369246,54,5.1950,0,
codex-vanilla-clean,dandavison__delta.acd758f,26.3158,1,950,250,0.959108,47,3.3495,0,
codex-vanilla-clean,danmar__cppcheck.0a5b103,3.1515,1,2126,67,0.781593,29,2.1812,0,
codex-vanilla-clean,direnv__direnv.02040c7,37.3380,1,849,317,1.025130,36,4.0099,0,
codex-vanilla-clean,doxygen__doxygen.966d98e,31.8777,1,229,73,0.675405,30,3.4660,0,
codex-vanilla-clean,drew-alleman__datasurgeon.d257cee,41.8327,1,502,210,0.637611,42,2.8761,0,
codex-vanilla-clean,ducaale__xh.4a6e44f,40.4782,1,1171,474,1.717762,45,5.2745,0,
codex-vanilla-clean,duckdb__duckdb.bdb65ec,0.7611,1,5650,43,1.251260,47,5.0701,0,
codex-vanilla-clean,dundee__gdu.ede21d2,66.6667,1,1161,774,1.126614,43,4.9686,0,
codex-vanilla-clean,ecumene__rust-sloth.051c559,52.6316,1,380,200,0.956120,40,2.9943,0,
codex-vanilla-clean,ekzhang__bore.8e059cd,40.3941,1,406,164,0.632697,26,3.2339,0,
codex-vanilla-clean,eliukblau__pixterm.1a93fd5,18.6047,1,430,80,0.892131,23,3.5388,0,
codex-vanilla-clean,elkowar__pipr.fae0b17,33.5238,1,525,176,0.949154,37,3.7148,0,
codex-vanilla-clean,epistates__treemd.825c6dd,41.9375,1,1569,658,1.197436,34,5.0253,0,
codex-vanilla-clean,eradman__entr.8e2e8b4,76.2799,1,586,447,1.088849,40,4.4121,0,
codex-vanilla-clean,esubaalew__run.0fb9dec,68.5644,1,1212,831,0.998071,39,4.0044,0,
codex-vanilla-clean,eudoxia0__hashcards.48aa136,72.3719,1,1151,833,1.123743,42,4.5817,0,
codex-vanilla-clean,facebook__zstd.1168da0,47.2522,1,2038,963,1.176715,46,5.2490,0,
codex-vanilla-clean,facebookresearch__fasttext.1142dc4,37.8205,1,312,118,0.641734,27,3.5555,0,
codex-vanilla-clean,ffmpeg__ffmpeg.360a402,6.2951,1,3050,192,0.984935,35,4.1685,0,
codex-vanilla-clean,filosottile__age.706dfc1,39.0533,1,676,264,1.547342,43,5.8979,0,
codex-vanilla-clean,foriequal0__git-trim.07c2f50,47.5442,1,509,242,1.198570,42,4.8312,0,
codex-vanilla-clean,gabotechs__dep-tree.60a95a2,66.2428,1,865,573,1.118824,37,4.8675,0,
codex-vanilla-clean,ggreer__the_silver_searcher.a61f178,42.5447,1,1006,428,0.990532,32,5.3634,0,
codex-vanilla-clean,git-bahn__git-graph.87b4473,71.8310,1,568,408,0.993954,32,5.1762,0,
codex-vanilla-clean,go-critic__go-critic.9aea378,29.4118,1,493,145,1.278596,43,5.1178,0,
codex-vanilla-clean,google__brotli.b3dc9cc,1.1338,1,441,5,0.893435,44,4.0649,0,
codex-vanilla-clean,gromacs__gromacs.665ea4c,3.5341,1,1245,44,0.671932,30,2.9046,0,
codex-vanilla-clean,guumaster__hostctl.d6d9699,59.5484,1,1063,633,1.158127,38,4.9090,0,
codex-vanilla-clean,hairyhenderson__gomplate.05eb3aa,57.6897,1,2926,1688,1.689533,44,6.6366,0,
codex-vanilla-clean,halitechallenge__halite.822cfb6,49.8182,1,275,137,1.140550,43,4.4486,0,
codex-vanilla-clean,hatoo__oha.8dc6349,65.8509,1,899,592,0.864610,25,4.4592,0,
codex-vanilla-clean,hooklift__gowsdl.2a06cec,40.6650,1,391,159,1.312169,45,5.1764,0,
codex-vanilla-clean,hpjansson__chafa.dd4d4c1,12.0663,1,1931,233,0.902043,34,4.0056,0,
codex-vanilla-clean,htop-dev__htop.523600b,37.1758,1,694,258,0.911234,34,4.0935,0,
codex-vanilla-clean,hush-shell__hush.560c33a,11.8235,1,1201,142,1.722643,55,6.8567,0,
codex-vanilla-clean,incu6us__goimports-reviser.81bd549,59.0643,1,513,303,0.759091,33,3.4649,0,
codex-vanilla-clean,ip7z__7zip.839151e,31.3519,1,1043,327,0.842083,43,4.2979,0,
codex-vanilla-clean,ismaelgv__rnr.fc0733b,61.0542,1,683,417,0.960673,48,4.0377,0,
codex-vanilla-clean,isona__dirble.e2dea9f,57.3816,1,718,412,0.927287,34,4.3053,0,
codex-vanilla-clean,ivanceras__svgbob.6d00ad9,35.8051,1,472,169,1.643012,53,5.7281,0,
